FNFNUM,CHEM,PPCO
385,SODIUM,PL
385,ZINC,PL
386,AMYGDALIN,LF
386,AMYGDALIN,SD
386,ARACHIDIC-ACID,SD
386,ARSENIC,LF
386,ASCORBIC-ACID,FR
386,ASCORBIC-ACID-OXIDASE,LF
386,ASH,FR
386,BENZALDEHYDE,LF
386,BETA-CAROTENE,FR
386,CAFFEIC-ACID,PL
386,CALCIUM,FR
386,CALCIUM,LF
386,CARBOHYDRATES,FR
386,CERYL-ALCOHOL,SD
386,CERYL-PALMITATE,SD
386,CITRIC-ACID,LF
386,COPPER,LF
386,CRYPTOXANTHIN,FR
386,CYANIDIN,PL
386,D-(+)-TARTARIC-ACID,FR
386,D-SORBITOL,LF
386,DL-LACTIC-ACID,FR
386,FAT,FR
386,FAT,SD
386,FIBER,FR
386,FIBER,SD
386,IRON,FR
386,IRON,LF
386,KAEMPFEROL,PL
386,KILOCALORIES,FR
386,LEUCOPELARGONIDIN-3-O-ALPHA-L-RHAMNO-BETA-D-GLUCOPYRENOSIDE,PL
386,LEVULOSE,FR
386,LINOLEIC-ACID,SD
386,MAGNESIUM,LF
386,MALIC-ACID,LF
386,MANGANESE,LF
386,MERCURY,LF
386,NEO-BETA-CAROTENE,FR
386,NEO-BETA-CAROTENE-B,FR
386,NEO-BETA-CAROTENE-U,FR
386,NIACIN,FR
386,NITROGEN,SD
386,OLEANOLIC-ACID,LF
386,OLEIC-ACID,SD
386,PALMITIC-ACID,SD
386,PENTOSANS,SD
386,PHOSPHORUS,FR
386,POTASSIUM,FR
386,POTASSIUM,LF
386,PROTEIN,FR
386,QUERCETIN,PL
386,RIBOFLAVIN,FR
386,SODIUM,FR
386,SODIUM,LF
386,SUCCINIC-ACID,FR
386,SUCROSE,FR
386,TANNIN,LF
386,THIAMIN,FR
386,URSOLIC-ACID,LF
386,WATER,FR
386,ZINC,LF
387,ARSENIC,LF
387,CALCIUM,LF
387,COPPER,LF
387,IRON,LF
387,MAGNESIUM,LF
387,MANGANESE,LF
387,POTASSIUM,LF
387,SODIUM,LF
387,ZINC,LF
388,"3',4'5,7-TETRAHYDROXYFLAVONE",PL
388,ACETIC-ACID,PL
388,BUTYRIC-ACID,PL
388,CEROTIC-ACID,RE
388,CHRYSOERIODICTYOL,RE
388,ERIODICTYOL,LF
388,ERIODICTYONIC-ACID,LF
388,ERIODICTYONINE,LF
388,ERIODONOL,RE
388,FORMIC-ACID,PL
388,HOMOERIODICTYOL,LF
388,PENTATRIACONTANE,RE
388,PHYTOSTEROLS,PL
388,TANNIN,PL
388,TRIACONTANE,RE
388,XANTHOERIODICTYOL,RE
389,ASCORBIC-ACID,SH
389,ASH,SH
389,CALCIUM,SH
389,CARBOHYDRATES,SH
389,FAT,SH
389,FIBER,SH
389,IRON,SH
389,KILOCALORIES,SH
389,NIACIN,SH
389,PHOSPHORUS,SH
389,PROTEIN,SH
389,RIBOFLAVIN,SH
389,THIAMIN,SH
389,WATER,SH
390,"2,4,5-TRIMETHYLBENZALDEHYDE",PL
390,2-DODECEN-1-AL,PL
390,"3,4-DIMETHYLBENZOIC-ACID",PL
390,"4-HYDROXY-3,5-DIMETHYLACETOPHENONE",PL
390,5-DODECANONE,PL
390,ALPHA-PINENE,PL
390,CAPRIC-ACID,PL
390,DECANAL,PL
390,EO,PL
390,FENQUILIC-ALCOHOL,PL
390,FLAVONOIDS,PL
390,FURFURAL,PL
390,LAURIC-ACID,PL
390,P-CYMENE,PL
390,SAPONIN,RT
390,SESQUITERPENE-KETONE,PL
391,ALPHA-ERYTHROIDINE,SD
391,ASCORBIC-ACID,SH
391,ASH,SH
391,BETA-CAROTENE,SH
391,BETA-ERYTHROIDINE,SD
391,CALCIUM,SH
391,CARBOHYDRATES,SH
391,ERYSODINE,SD
391,ERYSOPINE,SD
391,ERYSOTHIOPINE,SD
391,ERYSOTHIOVINE,SD
391,ERYSOVINE,SD
391,FAT,SH
391,FIBER,SH
391,HYPAPHORINE,SD
391,IRON,SH
391,KILOCALORIES,SH
391,NIACIN,SH
391,PHOSPHORUS,SH
391,PROTEIN,SH
391,RIBOFLAVIN,SH
391,THIAMIN,SH
391,WATER,SH
392,ALKALOIDS,SD
392,ARACHIDIC-ACID,SD
392,BETA-ERYTHROIDINE,SD
392,CRISTADINE,PL
392,CRISTAMIDINE,PL
392,CYANIDIN-3-GLUCOSIDE,PL
392,CYANIDIN-3-SOPHOROSIDE,PL
392,EICOSENOIC-ACID,SD
392,ERYCRISTAGALLIN,PL
392,ERYSODINE,SD
392,ERYSONINE,SD
392,ERYSOPINE,SD
392,ERYSOTHIOPINE,SD
392,ERYSOTHIOVINE,SD
392,ERYSOVINE,SD
392,ERYTHRALINE,SD
392,ERYTHRAMINE,SD
392,ERYTHRATINE,SD
392,ERYTHRATINONE,SD
392,FAT,SD
392,GENISTEIN,BK
392,HYPAPHORINE,SD
392,LINOLEIC-ACID,SD
392,MYRISTIC-ACID,SD
392,OLEIC-ACID,SD
392,PALMITIC-ACID,SD
392,PELARGONIDIN-3-GLUCOSIDE,PL
392,PELARGONIDIN-3-SOPHOROSIDE,PL
392,PROTEIN,SD
392,STEARIC-ACID,SD
393,ASCORBIC-ACID,LF
393,ASH,LF
393,BETA-CAROTENE,LF
393,CALCIUM,LF
393,CARBOHYDRATES,LF
393,ERYSODINE,SD
393,ERYSOPINE,SD
393,ERYSOTHIOPINE,PL
393,ERYSOTHIOVINE,PL
393,ERYSOVINE,SD
393,ERYTHRALINE,SD
393,FAT,LF
393,FIBER,LF
393,HYPAPHORINE,SD
393,IRON,LF
393,KILOCALORIES,LF
393,NIACIN,LF
393,PHOSPHORUS,LF
393,PROTEIN,LF
393,RIBOFLAVIN,LF
393,THIAMIN,LF
393,WATER,LF
394,3BETA-ACETOXY-7ALPHA-HYDROXY-N-(2-HYDROXYPHENYL)-N-METHYL-(E)-CASS-13(15)-EN-16-AMIDE,PL
394,CASSAIDINE,BK
394,CASSAINE,BK
394,CASSAMINE,BK
394,DEHYDRONORERYTHROSUAMINE,PL
394,ERYTHROPHLAMINE,BK
394,ERYTHROPHLEGUINE,BK
394,ERYTHROPHLEINE,BK
394,HOMOPHLEINE,BK
394,NORCASSAMIDIDE,PL
394,NORCASSAMINE,PL
394,NORERYTHROSUAMINE,PL
395,1-HEXANOL,LF
395,6-PHOSPHOGLUCONATE-DEHYDROGENASE,PL
395,ACONITASE,PL
395,ADENYLATE-KINASE,PL
395,ALANINE-AMINOTRANSFERASE,PL
395,ALCOHOL-DEHYDROGENASE,PL
395,ALKALINE-PHOSPHATASE,PL
395,ALKALOIDS,LF
395,ALPHA-TRUXILLINE,LF
395,ALPHA-TRUXINIC-ACID,LF
395,ALUMINUM,LF
395,ASCORBIC-ACID,LF
395,ASH,LF
395,BARIUM,LF
395,BENZOYLACGONINE,LF
395,BENZOYLECGONINE,LF
395,BENZOYLTROPEIN,PL
395,BENZOYLTROPINE,LF
395,BETA-AMYRIN,LF
395,BETA-CAROTENE,LF
395,BETA-COCAINE,PL
395,BETA-TRUXILLINE,LF
395,BETA-TRUXINIC-ACID,LF
395,BIOTIN,LF
395,BORON,LF
395,CAFFEIC-ACID,LF
395,CALCIUM,PL
395,CARBOHYDRATES,LF
395,CEROTIC-ACID,LF
395,CHLOROGENIC-ACID,PL
395,CHROMIUM,LF
395,CINNAMIC-ACID,LF
395,CINNAMYLCOCAINE,LF
395,CIS-3-HEXEN-1-OL,LF
395,COCAINE,LF
395,COPPER,LF
395,CUSCOHYGRINE,LF
395,CYANIDIN,LF
395,CYTOCHROME-OXIDASE,PL
395,D-ALPHA-TOCOPHEROL,LF
395,DIAPHORASE,PL
395,DIHYDROBENZALDEHYDES,LF
395,DIHYDROXYTROPANE,LF
395,ECGONINE,LF
395,ELLAGITANNINS,LF
395,EO,LF
395,ERYTHRODIOLMONOSTEARATE,FR
395,FAT,LF
395,FIBER,LF
395,FRUCTOSE-BIPHOSPHATASE,PL
395,GALACTOSE-DEHYDROGENASE,PL
395,GERANIIN,LF
395,GLUCOSE-6-PHOSPHATE-DEHYDROGENASE,PL
395,GLUCOSE-TRIPHOSPHATE-ISOMERASE,PL
395,GLUTAMATE-DEHYDROGENASE,PL
395,GLUTATHIONE-REDUCTASE,PL
395,GLYCERALDEHYDE-3-PHOSPHATE,PL
395,GLYCERATE-2-DEHYDROGENASE,PL
395,HYGRINE,LF
395,HYGROLINE,LF
395,IODINE,LF
395,IRON,LF
395,ISOCITRATE-DEHYDROGENASE,PL
395,ISOQUERCITRIN,LF
395,KAEMPFEROL,PL
395,KAEMPFEROL-3-O-ARABINOSIDE,LF
395,KAEMPFEROL-3-O-GALACTOSYLXYLOSIDE,LF
395,KAEMPFEROL-3-O-GLUCOSIDE,LF
395,KAEMPFEROL-3-O-GLUCOSYLXYLOSIDE,LF
395,KAEMPFEROL-3-O-XYLOSYLGALACTOSIDE,LF
395,KAEMPFEROL-3-O-XYLOSYLGLUCOSIDE,LF
395,KILOCALORIES,LF
395,LACTATE-DEHYDROGENASE,PL
395,LEUCOCYANIDIN,LF
395,LEUCYL-ALANINE-PEPTIDASE,PL
395,LEUCYL-LEUCYL-LEUCINE-PEPTIDASE,PL
395,MAGNESIUM,LF
395,MALIC-ENZYME,PL
395,MANGANESE,LF
395,METHYL-SALICYLATE,LF
395,METHYLCOCAINE,LF
395,"N,N-DIMETHYL-BENZYLAMINE",LF
395,N-METHYLPYRROLE,LF
395,NIACIN,LF
395,NICOTINE,LF
395,PALMITIC-ACID,LF
395,PALMITYL-BETA-AMYRIN,LF
395,PANTOTHENIC-ACID,LF
395,PHENYLALANYL-PROLINE-PEPTIDASE,PL
395,PHOSPHORUS,LF
395,PHYTOSTEROLS,PL
395,POTASSIUM,LF
395,PROCYANIDINS,LF
395,PROTEIN,LF
395,PYRUVATE-KINASE,PL
395,QUERCETIN-3-O-ARABINOSIDE,LF
395,QUERCETIN-3-O-GALACTOSYLXYLOSIDE,LF
395,QUERCETIN-3-O-GLUCOSIDE,LF
395,QUERCETIN-3-O-GLUCOSYLGALACTOSIDE,LF
395,QUERCETIN-3-O-GLUCOSYLXYLOSIDE,LF
395,QUERCETIN-3-O-XYLOSYLGALACTOSIDE,LF
395,QUERCETIN-3-O-XYLOSYLGLUCOSIDE,LF
395,QUERCITRIN,LF
395,RIBOFLAVIN,LF
395,RUTIN,LF
395,SODIUM,LF
395,STRONTIUM,LF
395,THIAMIN,LF
395,TRANS-2-HEXANAL,LF
395,TRIOSE-PHOSPHATE-ISOMERASE,PL
395,TROPACOCAINE,LF
395,VIT-B-6,LF
395,VIT-B12,LF
395,WATER,LF
395,WAX,LF
395,XANTHINE-DEHYDROGENASE,PL
395,ZINC,LF
396,COCAINE,LF
396,KAEMPFEROL-3-O-ARABINOSIDE,LF
396,KAEMPFEROL-3-O-GALACTOSYLXYLOSIDE,LF
396,KAEMPFEROL-3-O-GLUCOSIDE,LF
396,KAEMPFEROL-3-O-GLUCOSYLXYLOSIDE,LF
396,KAEMPFEROL-3-O-XYLOSYLGALACTOSIDE,LF
396,KAEMPFEROL-3-O-XYLOSYLGLUCOSIDE,LF
396,QUERCETIN-3-O-ARABINOSIDE,LF
396,QUERCETIN-3-O-GLUCOSIDE,LF
396,QUERCETIN-3-O-GLUCOSYLGALACTOSIDE,LF
396,QUERCETIN-3-O-GLUCOSYLXYLOSIDE,LF
396,QUERCETIN-3-O-XYLOSYLGALACTOSIDE,LF
396,QUERCETIN-3-O-XYLOSYLGLUCOSIDE,LF
397,(+)-CATECHIN-3-O-ALPHA-L-RHAMNOPYRANOSIDE,ST
397,(+)-CATECHIN-3-RHAMNOSIDE,PL
397,ALKALOIDS,LF
397,BENZOYLECGONINE,LF
397,CALCIUM,LF
397,CINNAMYLCOCAINE,LF
397,COCAINE,LF
397,COPPER,LF
397,ERYTHRODIOL,FR
397,GENTISIC-ACID,LF
397,IRON,LF
397,ISOQUERCITRIN,LF
397,KAEMPFEROL-3-O-GLUCOSIDE,LF
397,KAEMPFEROL-3-O-RUTINOSIDE,LF
397,MAGNESIUM,LF
397,MANGANESE,LF
397,METHYL-SALICYLATE,LF
397,OMBUIN-3-O-RUTINOSIDE,LF
397,PALMITYL-BETA-AMYRIN,LF
397,POTASSIUM,LF
397,QUERCETIN-3-O-GLUCOSIDE,LF
397,QUERCETIN-3-O-RUTINOSIDE,LF
397,QUERCETIN-3-O-TRIGLYCOSIDE,LF
397,RUTIN,LF
397,ZINC,LF
398,(+)-PSEUDOCOCAINE,PL
398,ALPHA-TRUXILLINE,LF
398,BETA-COCAINE,PL
398,BETA-TRUXILLINE,LF
398,CALCIUM,LF
398,CINNAMOYLCOCAINE,PL
398,COCAINE,LF
398,COPPER,LF
398,CUSCOHYDRINE,LF
398,CUSKHYGRINE,PL
398,HYGRINE,LF
398,HYGROLINE,LF
398,IRON,LF
398,KAEMPFEROL-3-O-ARABINOSIDE,LF
398,KAEMPFEROL-3-O-GLUCOSIDE,LF
398,KAEMPFEROL-3-O-RUTINOSIDE,LF
398,MAGNESIUM,LF
398,MANGANESE,LF
398,OMBUIN-3-O-RUTINOSIDE,LF
398,POTASSIUM,LF
398,QUERCETIN-3-O-ARABINOSIDE,LF
398,QUERCETIN-3-O-GLUCOSIDE,LF
398,QUERCETIN-3-O-RUTINOSIDE,LF
398,QUERCETIN-3-O-TRIGLYCOSIDE,LF
398,TROPACOCAINE,LF
398,WATER,LF
398,ZINC,LF
399,ALLOCRYPTOPINE,RT
399,BERBERINE,SH
399,BISNORARGEMONINE,PL
399,CALIFORNIDINE,SH
399,CALIFORNINE,SH
399,CHELERYTHRINE,LF
399,CHELILUTINE,RT
399,CHELIRUBINE,RT
399,CODEINE,PL
399,COPTISINE,RT
399,CRYPTOCAVINE,PL
399,CRYPTOPINE,SH
399,ESCHOLIDINE,RT
399,ESCHOLINE,RT
399,ESCHOLININE,RT
399,ESCHSCHOLTZIDINE,PL
399,ESCHSCHOLTZIDINE,RT
399,ESCHSCHOLTZXANTHIN,PL
399,FAT,SD
399,FUMARIC-ACID,PL
399,FUMARINE,PL
399,GLAUCINE,PL
399,HCN,RT
399,IONIDINE,PL
399,LAUROSCHOLTZINE,SH
399,MORPHINE,PL
399,PROTEIN,SD
399,PROTOPINE,SH
399,RUTIN,FL
399,SANGUINARINE,SH
399,SUCCINIC-ACID,RT
399,VIOLAXANTHIN,PL
399,XANTHOPHYLL,PL
399,ZEAXANTHIN,PL
400,"1,8-CINEOLE",LF
400,7-O-METHYLAROMADENDRIN,PL
400,ALPHA-PINENE,LF
400,AROMADENDRENE,LF
400,AROMADENDRIN,PL
400,BETA-PINENE,LF
400,BETA-SITOSTEROL,PL
400,BETULINIC-ACID,LF
400,BETULINIC-ACID,PL
400,BETULINIC-ACID,RT
400,CITRAL,LF
400,CITRONELLAL,LF
400,CITRONELLOL,LF
400,CITRONELLYL-ACETATE,LF
400,EO,LF
400,EUDESMOL,LF
400,EUGENOL,LF
400,GERANIOL,LF
400,GUAIACOL,LF
400,GUAIOL,LF
400,HYDROXYCITRONELLAL,LF
400,ISOPULEGOL,LF
400,LINALOL,LF
400,MYRCENE,LF
400,NEO-ISOPULEGOL,LF
400,P-CYMENE,LF
400,TANNIN,RE
400,TERPINENE,LF
400,TERPINOLENE,LF
400,URSOLIC-ACID,PL
401,"1,8-CINEOLE",LF
401,"11,12-DEHYDROURSOLACTONE-ACETATE",WL
401,3-ISOPROPYLIDEN-1-ACETYL-5-CYCLOPENTENE,LF
401,3-OMETHYLELLAGIC-ACID-4'RHAMNOSIDE,BK
401,3-OMETHYLELLAGIC-ACID-4'RHAMNOSIDE,WD
401,ALLO-AROMADENDRINE,PL
401,ALPHA-AROMADENDRENE,LF
401,ALPHA-EUDESMOL,PL
401,ALPHA-PHELLANDRENE,LF
401,ALPHA-PINENE,LF
401,AROMADENDRENE,LF
401,BETA-DIKETONE,WL
401,BETA-EUDESMOL,PL
401,BETA-PINENE,LF
401,BUTYRALDEHYDE,LF
401,CAFFEIC-ACID,LF
401,CAPROALDEHYDE,LF
401,CHLOROGENIC-ACID,BK
401,CHLOROGENIC-ACID,WD
401,CITRIODOROL,PL
401,CUMINALDEHYDE,LF
401,D-CATECHOL,BK
401,D-CATECHOL,WD
401,D-LINALOL,LF
401,D-MYRTENAL,LF
401,D-MYRTENOL,LF
401,D-VERBENONE,LF
401,ELLAGIC-ACID,LF
401,ELLAGIC-ACID,ST
401,EO,LF
401,EPIGLOBULOL,LF
401,ETHANOL,LF
401,EUCALYPTIN,LF
401,EUGLOBAL-IA1,PL
401,EUGLOBAL-IB,PL
401,EUGLOBAL-IC,PL
401,EUGLOBAL-IIA,PL
401,EUGLOBAL-IIB,PL
401,EUGLOBAL-IIC,PL
401,EUGLOBAL-III,BD
401,EUGLOBAL-III,LF
401,EUGLOBAL-IVB,PL
401,EUGLOBAL-VII,PL
401,EUGLOBOL-IA2,PL
401,FERULIC-ACID,LF
401,GALLIC-ACID,BK
401,GALLIC-ACID,LF
401,GALLIC-ACID,ST
401,GAMMA-TERPINENE,LF
401,GENTISIC-ACID,LF
401,GLOBULOL,LF
401,HYPEROSIDE,LF
401,I-TERPINEOL,LF
401,ISOAMYL-ALCOHOL,LF
401,LEDOL,LF
401,P-CYMENE,LF
401,PARAFFIN,LF
401,PINENE,LF
401,PINOCARVEOL,LF
401,PINOCARVONE,LF
401,PROTOCATECHUIC-ACID,LF
401,QUERCETIN,LF
401,QUERCETOL,PL
401,QUERCETOL-3-GLUCOSIDE,PL
401,QUERCETRIN,LF
401,QUERCITRIN,PL
401,RUTIN,LF
401,"TRITRIACONTANE-16,18-DIONE",PL
401,VALERALDEHYDE,LF
401,VIRIDIFLOROL,LF
402,(+)-1-HYDROXYPINORESINOL-4.4'-GLUCOPYRANOSIDE,PL
402,(+)-MEDIORESINOL-DI-O-BETA-D-GLUCOPYRANOSIDE,PL
402,ARSENIC,BK
402,AUCUBIN,PL
402,BETULIN,BK
402,BETULINIC-ACID,BK
402,CALCIUM,BK
402,CHLOROGENIC-ACID,LF
402,COPPER,BK
402,EUCOMMIN-A,PL
402,EUCOMMIOL,PL
402,GUTTA-PERCHA,BK
402,IRON,BK
402,LINOLEIC-ACID,OD
402,LINOLENIC-ACID,OD
402,MAGNESIUM,BK
402,MANGANESE,BK
402,MERCURY,BK
402,OLEIC-ACID,OD
402,PALMITIC-ACID,OD
402,POTASSIUM,BK
402,RESIN,BK
402,SODIUM,BK
402,STEARIC-ACID,OD
402,ULMOPRENOL,BK
402,ULMOSIDE,PL
402,ZINC,BK
403,1-METHYL-2-(DELTA-8-TRIDECENYL)-4-QUINOLINONE,FR
403,5-METHOXY-N-DIMETHYL-TRYPTAMINE,FR
403,ALPHA-OCIMENE,FR
403,CALCIUM,FR
403,CIS-TETRADECADIENONIC-ACID,FR
403,COPPER,FR
403,"CYCLIC-GUANOSINE-3',5'-MONOPHOSPHATE",FR
403,DEHYDROEVODIAMINE,LF
403,EO,FR
403,EVOCARPINE,FR
403,EVODENE,FR
403,EVODIAMINE,LF
403,EVODINONE,FR
403,EVODOL,FR
403,EVOGINE,FR
403,HIGENAMINE,FR
403,HYDROXYEVODIAMINE,LF
403,IRON,FR
403,ISOEVODIAMINE,PL
403,L-SYNEPHRINE,FR
403,MAGNESIUM,FR
403,MANGANESE,FR
403,POTASSIUM,FR
403,RHETSININE,PL
403,RUTAECARPINE,LF
403,RUTAEVINE,LF
403,SODIUM,FR
403,WUCHUYINE,PL
403,ZINC,FR
404,ASPARAGINE,BK
404,ATROPUROL,RE
404,ATROPURPURIN,BK
404,CEROTIC-ACID,PL
404,CITRIC-ACID,PL
404,CITRULLOL,BK
404,DULCITOL,RT
404,EUONIC-ACID,PL
404,EUONYMOL,BK
404,EUONYSTEROL,RE
404,FURAN-BETA-CARBONIC-ACID,RT
404,GALACTITOL,PL
404,HOMOEUONYSTEROL,RE
404,LINOLEIC-ACID,PL
404,MALIC-ACID,PL
404,PHYTOSTEROLS,PL
404,TANNIN,RT
404,TARTARIC-ACID,PL
405,"11,13ALPHA-DIHYDROEUPERFOLIDE",PL
405,4-O-METHYL-GLUCURONOXYLAN,PL
405,"7-HYDROXY-7-HYDRO-6-DEHYDRO-3,4(Z)-ALPHA-FARNESENE",PL
405,8BETA-ANGELOYLOXYEUPATUNDIN,PL
405,ASTRAGALIN,PL
405,DENDROIDINIC-ACID,PL
405,EUCANNABINOLIDE,PL
405,EUFOLIATIN,PL
405,EUFOLIATORIN,PL
405,EUPAFOLIN,PL
405,EUPATORIN,PL
405,EUPERFOLIDE,PL
405,EUPERFOLIN,PL
405,EUPERFOLITIN,PL
405,GALLIC-ACID,PL
405,GUM,PL
405,HEBENOLIDE,PL
405,HELENALIN,PL
405,HYPEROSIDE,PL
405,KAEMPFEROL,PL
405,QUERCETIN,PL
405,RESIN,PL
405,RUTIN,PL
405,TANNIC-ACID,PL
405,URS-20-EN-3BETA-OL,PL
406,12-DEOXY-4BETA-HYDROXYPHORBOL-13-DODECANOATE-20-ACETATE,PL
406,12-DEOXY-4BETA-HYDROXYPHORBOL-13-PHENYLACETATE-20-ACETATE,PL
406,12-DEOXYPHORBOL-13-PHENYLACETATE-16-O-ALPHA-METHYLETC.,PL
406,"20-O-ACETYLRESENIFERENOL-9,13,14-ORTHOPHENYLACETATE",PL
406,"3,4-DIOXYPHENYLALANINE",LX
406,ALPHA-AMYRIN,PL
406,ASCORBIC-ACID,LF
406,BETA-AMYRIN,PL
406,BETA-SITOSTEROL,LF
406,BETA-SITOSTEROL,ST
406,BETULIN,ST
406,CAFFEIC-ACID,PL
406,CAMPESTEROL,PL
406,CAMPHOL,PL
406,CAOUTCHOUC,LX
406,CHLOROPHENOLIC-ACID,PL
406,CHOLESTEROL,PL
406,CHOLINE,PL
406,"CYANIDIN-3,5-DIGLUCOSIDE",PL
406,CYCLOARTENOL,PL
406,ELLAGIC-ACID,PL
406,EUPHORBOL-HEXOCOSONATE,PL
406,FAT,LF
406,FERULIC-ACID,LF
406,FRIEDALIN,PL
406,FRIEDELIN,PL
406,GALLIC-ACID,PL
406,GUM,PL
406,HCN,PL
406,HENTRIACONTANE,ST
406,INGENOL-TRIACETATE,PL
406,JAMBULOL,PL
406,KAEMPFEROL,LF
406,KAEMPFEROL-3-GLUCURONIDE,LF
406,L-HEXACOSANOL,PL
406,LEUCOCYANIDOL,PL
406,LINOLEIC-ACID,PL
406,MELISSIC-ACID,PL
406,METHYLENE-CYCLOARTENOL,PL
406,MYRICYL-ALCOHOL,ST
406,OLEIC-ACID,PL
406,P-COUMARIC-ACID,LF
406,PALMITIC-ACID,PL
406,"PELARGONIN-3,5-DIGLUCOSIDE",PL
406,PROTEIN,LF
406,QUERCETIN,PL
406,QUERCETIN-3-BETA-D-GLUCURONIDE,ST
406,QUERCETOL,PL
406,QUERCETRIN,PL
406,RESIN,PL
406,RHAMNETIN,PL
406,RHAMNOSE,PL
406,SHIKIMIC-ACID,PL
406,TANNIC-ACID,PL
406,TARAXEROL,ST
406,TARAXERONE,ST
406,TRIACONTANE,PL
406,WATER,LF
406,XANTHORHAMNIN,PL
407,16-HYDROXYINGENOL,PL
407,"3,4-DIOXYPHENYLALANINE",LX
407,"6,20-EPOXYLATHYROL-5,10-DIACETATE-3-PHENYLACETATE",PL
407,7-HYDROXYLATHYROL,PL
407,BETA-SITOSTEROL,LF
407,BETULIN,PL
407,CAOUTCHOUC,LX
407,DAPHNETIN,SD
407,EUPHORBETIN,SD
407,EUPHORBIASTEROID,SD
407,FAT,SD
407,FERULIC-ACID,LF
407,HENTRIACONTANE,ST
407,INGENOL-3-HEXADECANIC-ACID-ESTER,PL
407,KAEMPFEROL,LF
407,KAEMPFEROL-3-GLUCURONIDE,LF
407,L-DOPA,LX
407,LATHYROLS,SD
407,OLEIC-ACID,SD
407,P-COUMARIC-ACID,LF
407,PROTEIN,SD
407,QUERCETIN,LF
407,QUERCETIN-3-BETA-D-GLUCURONIDE,LF
407,TARAXEROL,ST
407,TARAXERONE,ST
407,WAX,LF
408,2-METHYLANTHRAQUINONE,PL
408,"ALPHA,GAMMA-DIAMINOBUTYRIC-ACID",LX
408,ALPHA-AMYRIN,PL
408,BETA-AMYRIN,PL
408,BETA-SITOSTEROL,ST
408,BETA-SITOSTEROL-D-GLUCOSIDE,LF
408,BREIN,PL
408,CAFFEIC-ACID,PL
408,CAMPESTEROL,PL
408,CHOLESTEROL,PL
408,CYANIDIN-3-GALACTOSIDE,FL
408,CYANIDIN-3-GLUCOSIDE,FL
408,CYANIDIN-3-RUTINOSIDE,FL
408,CYCLOARTENOL,LX
408,"DECA-2,4,6-TRIENOIC-ACID",PL
408,DIHYDROBRASSICASTEROL,PL
408,EPI-GERMANICYL-ACETATE,PL
408,GERMANICOL,PL
408,GERMANICYL-ACETATE,PL
408,GERMANICYL-BEHENATE,PL
408,GERMANICYL-TETRACOSANOATE,PL
408,KAEMPFEROL-3-0-GALACTOSIDE,FL
408,KAEMPFEROL-3-0-GLUCOSIDE,FL
408,KAEMPFEROL-3-O-RUTINOSIDE,LF
408,KAEMPFEROL-3-RHAMNOSIDE,FL
408,KAEMPFEROL-3-RHAMNOSYL-GALACTOSIDE,FL
408,KAEMPFEROL-3-RHAMNOSYL-GLUCOSIDE,FL
408,N-ACETYLDIAMINOBUTYRIC-ACID,LX
408,OCTAEICOSANOL,ST
408,PELARGONIDIN-3-GALACTOSIDE,FL
408,PELARGONIDIN-3-GLUCOSIDE,FL
408,PELARGONIDIN-3-RUTINOSIDE,FL
408,PSEUDOTARAXASTEROL,PL
408,PULCHEROL,LX
408,QUERCETIN-3'-GLUCOSIDE,FL
408,QUERCETIN-3-0-GALACTOSIDE,FL
408,QUERCETIN-3-O-RHAMNOSIDE,FL
408,QUERCETIN-3-RHAMNOSYL-GALACTOSIDE,FL
408,QUERCETIN-3-RHAMNOSYL-GLUCOSIDE,FL
408,RUTIN,LF
409,12-O-(2Z)(4E)-OCTADIENOYL-4-DEOXYPHORBOL-13-ACETATE,LX
409,"3,3'-DI-O-METHYL-ELLAGIC-ACID",ST
409,BETA-SITOSTEROL,ST
409,CAOUTCHOUC,LX
409,CITRIC-ACID,PL
409,ELLAGIC-ACID,ST
409,EUPHOL,LX
409,EUPHORONE,LX
409,GLUCOSE,PL
409,HENTRIACONTANE,ST
409,HENTRIACONTANOL,ST
409,ISOEUPHORAL,LX
409,KAMEPFEROL,PL
409,MALIC-ACID,PL
409,RESIN,LX
409,SAPOGENIN-ACETATES,PL
409,SUCCINIC-ACID,PL
409,TARAXASTEROL,LX
409,TARAXERIN,ST
409,TIRUCALLOL,LX
410,ALUMINUM,PL
410,ASCORBIC-ACID,PL
410,ASH,PL
410,AUCUBIN,PL
410,BETA-CAROTENE,PL
410,CAFFEIC-ACID,PL
410,CALCIUM,PL
410,CARBOHYDRATES,PL
410,CATALPOL,PL
410,CHOLINE,PL
410,CHROMIUM,PL
410,COBALT,PL
410,EO,PL
410,FAT,PL
410,FERULIC-ACID,PL
410,FIBER,PL
410,GALLOTANNINS,PL
410,GENIPOSIDE,PL
410,IRON,PL
410,KILOCALORIES,PL
410,LUPROSIDE,PL
410,MAGNESIUM,PL
410,MANGANESE,PL
410,NIACIN,PL
410,PHOSPHORUS,PL
410,POTASSIUM,PL
410,PROTEIN,PL
410,RIBOFLAVIN,PL
410,SELENIUM,PL
410,SILICON,PL
410,SODIUM,PL
410,TANNINS,PL
410,THIAMIN,PL
410,TIN,PL
410,WATER,PL
410,ZINC,PL
411,"3,4-DIHYDROXY-2-PIPERIDINOMETHANOL",PL
411,ALANINE,SD
411,ARACHIDIC-ACID,SD
411,ARGININE,SD
411,ASCORBIC-ACID,SD
411,ASH,SD
411,ASPARTIC-ACID,SD
